DRUG_CODE,ACTIVE_INGREDIENT_CODE,INGREDIENT,INGREDIENT_SUPPLIED_IND,STRENGTH,STRENGTH_UNIT,STRENGTH_TYPE,DOSAGE_VALUE,BASE,DOSAGE_UNIT,NOTES,INGREDIENT_F,STRENGTH_UNIT_F,STRENGTH_TYPE_F,DOSAGE_UNIT_F
"101215","2730","DIDECYL DIMETHYL AMMONIUM CHLORIDE","I","0.0545","%","","","N","W/W","","Chlorure de didécyl-diméthyl ammonium","%","","p/p"
"101216","13353","ALENDRONIC ACID (ALENDRONATE SODIUM)","I","5","MG","","","N","","","Acide alendronique (Alendronate sodique)","MG","",""
"101217","13353","ALENDRONIC ACID (ALENDRONATE SODIUM)","I","10","MG","","","N","","","Acide alendronique (Alendronate sodique)","MG","",""
"101222","13353","ALENDRONIC ACID (ALENDRONATE SODIUM)","I","5","MG","","","N","","AS ALENDRONATE SODIUM TRIHYDRATE","Acide alendronique (Alendronate sodique)","MG","",""
"101223","13353","ALENDRONIC ACID (ALENDRONATE SODIUM)","I","10","MG","","","N","","AS ALENDRONATE SODIUM TRIHYDRATE","Acide alendronique (Alendronate sodique)","MG","",""
"101224","7218","IODINE (POLYOXYETHYLENE-POLYOXYPROPYLENE BLOCK COPOLYMER-IODINE COMPLEX)","I","0.5","%","","","N","W/W","","Iode (COMPLEXE IODE-COPOLYMÈRE DU BLOC POLYOXYETHYLÈNE-POLYOXYPROPYLÈNE)","%","","p/p"
"101230","12094","INFLIXIMAB","I","100","MG","","","N","VIAL","","Infliximab","MG","","Fiole"
"101236","197","BENZALKONIUM CHLORIDE","I","0.1","%","","","N","V/V","","Chlorure de benzalkonium","%","","v/v"
"101237","197","BENZALKONIUM CHLORIDE","I","0.1","%","","","N","V/V","","Chlorure de benzalkonium","%","","v/v"
"101239","196","ALKYL DIMETHYL ETHYLBENZYL AMMONIUM CHLORIDE","I","0.14","%","","","N","W/W","","Chlorure d'alkyl diméthyl éthylbenzyl ammonium","%","","p/p"
"101239","197","BENZALKONIUM CHLORIDE","I","0.14","%","","","N","W/W","","Chlorure de benzalkonium","%","","p/p"
"101240","7128","HYDROGEN PEROXIDE","I","0.5","%","","","N","W/W","","Peroxyde d'hydrogène","%","","p/p"
"101243","20120","HYPOCHLOROUS ACID","I","0.0338","%","","","N","W/W","","Acide hypochloreux","%","","p/p"
"101244","22341","ICATIBANT (ICATIBANT ACETATE)","I","10","MG","","","N","ML","","ICATIBANT (ICATIBANT ACETATE)","MG","","ML"
"101246","20625","DEXLANSOPRAZOLE","I","30","MG","","","N","","","Dexlansoprazole","MG","",""
"101247","20625","DEXLANSOPRAZOLE","I","60","MG","","","N","","","Dexlansoprazole","MG","",""
"101248","197","BENZALKONIUM CHLORIDE","I","0.1","%","","","N","V/V","","Chlorure de benzalkonium","%","","v/v"
"101250","197","BENZALKONIUM CHLORIDE","I","0.1","%","","","N","W/W","","Chlorure de benzalkonium","%","","p/p"
"101259","8500","BACITRACIN ZINC","I","500","UNIT","","","N","G","","Bacitracine de zinc","Unité","","G"
"101259","8519","POLYMYXIN B SULFATE","I","10000","UNIT","","","N","G","","Sulfate de polymyxine b","Unité","","G"
"101261","197","BENZALKONIUM CHLORIDE","I","0.034","%","","","N","W/W","","Chlorure de benzalkonium","%","","p/p"
"101261","2218","OCTYL DECYL DIMETHYL AMMONIUM CHLORIDE","I","0.026","%","","","N","W/W","","Chlorure d'octyl décyl diméthyl ammonium","%","","p/p"
"101261","2232","DIOCTYL DIMETHYL AMMONIUM CHLORIDE","I","0.013","%","","","N","W/W","","Chlorure de dioctyl-diméthyl ammonium","%","","p/p"
"101261","2730","DIDECYL DIMETHYL AMMONIUM CHLORIDE","I","0.013","%","","","N","W/W","","Chlorure de didécyl-diméthyl ammonium","%","","p/p"
"101268","22549","DAPAGLIFLOZIN","I","5","MG","","","N","","","Dapagliflozine","MG","",""
"101269","22549","DAPAGLIFLOZIN","I","10","MG","","","N","","","Dapagliflozine","MG","",""
"101276","196","ALKYL DIMETHYL ETHYLBENZYL AMMONIUM CHLORIDE","I","0.125","%","","","N","W/W","","Chlorure d'alkyl diméthyl éthylbenzyl ammonium","%","","p/p"
"101276","197","BENZALKONIUM CHLORIDE","I","0.125","%","","","N","W/W","","Chlorure de benzalkonium","%","","p/p"
"101276","4316","CHLORINE DIOXIDE","I","0.2","%","","","N","W/W","","Dioxide de chlore","%","","p/p"
"101290","12594","TREPROSTINIL (TREPROSTINIL SODIUM)","I","1","MG","","","N","ML","","Tréprostinil (Tréprostinil sodique)","MG","","ML"
"101291","12594","TREPROSTINIL (TREPROSTINIL SODIUM)","I","2.5","MG","","","N","ML","","Tréprostinil (Tréprostinil sodique)","MG","","ML"
"101292","12594","TREPROSTINIL (TREPROSTINIL SODIUM)","I","5","MG","","","N","ML","","Tréprostinil (Tréprostinil sodique)","MG","","ML"
"101293","12594","TREPROSTINIL (TREPROSTINIL SODIUM)","I","10","MG","","","N","ML","","Tréprostinil (Tréprostinil sodique)","MG","","ML"
"101295","5891","THIOTEPA","I","400","MG","","","N","BAG","MULTI-CHAMBER BAG","Thiotépa","MG","","Sac"
"101296","7128","HYDROGEN PEROXIDE","I","7.25","%","","","N","W/W","","Peroxyde d'hydrogène","%","","p/p"
"101298","22925","SEMAGLUTIDE","I","2.68","MG","","","N","ML","","Sémaglutide","MG","","ML"
"101311","19249","SUNITINIB (SUNITINIB MALATE)","I","37.5","MG","","","N","","","Sunitinib (Malate de sunitinib)","MG","",""
"101313","11104","ONDANSETRON","I","4","MG","","5","N","ML","","Ondansétron","MG","","ML"
"101315","22541","APREMILAST","I","10","MG","","","N","","","APREMILAST","MG","",""
"101315","22541","APREMILAST","I","20","MG","","","N","","","APREMILAST","MG","",""
"101315","22541","APREMILAST","I","30","MG","","","N","","","APREMILAST","MG","",""
"101317","196","ALKYL DIMETHYL ETHYLBENZYL AMMONIUM CHLORIDE","I","0.178","%","","","N","W/W","","Chlorure d'alkyl diméthyl éthylbenzyl ammonium","%","","p/p"
"101317","197","BENZALKONIUM CHLORIDE","I","0.178","%","","","N","W/W","","Chlorure de benzalkonium","%","","p/p"
"101318","7128","HYDROGEN PEROXIDE","I","7.5","%","","","N","W/W","","Peroxyde d'hydrogène","%","","p/p"
"101319","7128","HYDROGEN PEROXIDE","I","0.5","%","","","N","W/W","","Peroxyde d'hydrogène","%","","p/p"
"101320","23425","BALOXAVIR MARBOXIL","I","80","MG","","","N","","","BALOXAVIR MARBOXIL","MG","",""
"101322","10234","HYDROCHLOROTHIAZIDE","I","12.5","MG","","","N","","","Hydrochlorothiazide","MG","",""
"101322","11702","VALSARTAN","I","320","MG","","","N","","","Valsartan","MG","",""
"101323","10234","HYDROCHLOROTHIAZIDE","I","25","MG","","","N","","","Hydrochlorothiazide","MG","",""
"101323","11702","VALSARTAN","I","320","MG","","","N","","","Valsartan","MG","",""
"101337","20524","SAXAGLIPTIN (SAXAGLIPTIN HYDROCHLORIDE)","I","2.5","MG","","","N","","","Saxagliptine (Chlorhydrate de saxagliptine)","MG","",""
"101338","20524","SAXAGLIPTIN (SAXAGLIPTIN HYDROCHLORIDE)","I","5","MG","","","N","","","Saxagliptine (Chlorhydrate de saxagliptine)","MG","",""
"101344","197","BENZALKONIUM CHLORIDE","I","0.26","%","","","N","W/W","","Chlorure de benzalkonium","%","","p/p"
"101345","196","ALKYL DIMETHYL ETHYLBENZYL AMMONIUM CHLORIDE","I","0.15","%","","","N","W/W","","Chlorure d'alkyl diméthyl éthylbenzyl ammonium","%","","p/p"
"101345","197","BENZALKONIUM CHLORIDE","I","0.15","%","","","N","W/W","","Chlorure de benzalkonium","%","","p/p"
"101362","7128","HYDROGEN PEROXIDE","I","1.22","%","","","N","W/W","","Peroxyde d'hydrogène","%","","p/p"
"101363","22341","ICATIBANT (ICATIBANT ACETATE)","I","10","MG","","","N","ML","","ICATIBANT (ICATIBANT ACETATE)","MG","","ML"
"101370","10258","PHENYLEPHRINE HYDROCHLORIDE","I","0.1","MG","","","N","ML","","Chlorhydrate de phényléphrine","MG","","ML"
"101371","10258","PHENYLEPHRINE HYDROCHLORIDE","I","10","MG","","","N","ML","","Chlorhydrate de phényléphrine","MG","","ML"
"101382","197","BENZALKONIUM CHLORIDE","I","0.13","%","","","N","V/V","","Chlorure de benzalkonium","%","","v/v"
"101392","13352","CINACALCET (CINACALCET HYDROCHLORIDE)","I","60","MG","","","N","","","Cinacalcet (Chlorhydrate de cinacalcet)","MG","",""
"101393","13352","CINACALCET (CINACALCET HYDROCHLORIDE)","I","90","MG","","","N","","","Cinacalcet (Chlorhydrate de cinacalcet)","MG","",""
"101404","9483","BETAHISTINE HYDROCHLORIDE","I","8","MG","","","N","","","Chlorhydrate de bétahistine","MG","",""
"101406","11443","TRANDOLAPRIL","I","0.5","MG","","","N","","","Trandolapril","MG","",""
"101411","12048","OCTISALATE","I","5","%","","","N","W/W","","Octisalate","%","","p/p"
"101411","12634","ENSULIZOLE","I","0.5","%","","","N","W/W","","Ensulizole","%","","p/p"
"101411","19130","DROMETRIZOLE TRISILOXANE","I","7","%","","","N","W/W","","Drométrizole trisiloxane","%","","p/p"
"101411","1970","HOMOSALATE","I","2","%","","","N","W/W","","Homosalate","%","","p/p"
"101411","20447","BEMOTRIZINOL","I","5","%","","","N","W/W","","Bémotrizinol","%","","p/p"
"101411","2280","OCTOCRYLENE","I","5","%","","","N","W/W","","Octocrilène","%","","p/p"
"101411","755","AVOBENZONE","I","3","%","","","N","W/W","","Avobenzone","%","","p/p"
"101413","197","BENZALKONIUM CHLORIDE","I","0.13","%","","","N","W/W","","Chlorure de benzalkonium","%","","p/p"
"101414","22124","GUANFACINE (GUANFACINE HYDROCHLORIDE)","I","1","MG","","","N","","","Guanfacine (Chlorhydrate de guanfacine)","MG","",""
"101415","22124","GUANFACINE (GUANFACINE HYDROCHLORIDE)","I","2","MG","","","N","","","Guanfacine (Chlorhydrate de guanfacine)","MG","",""
"101416","22124","GUANFACINE (GUANFACINE HYDROCHLORIDE)","I","3","MG","","","N","","","Guanfacine (Chlorhydrate de guanfacine)","MG","",""
"101417","22124","GUANFACINE (GUANFACINE HYDROCHLORIDE)","I","4","MG","","","N","","","Guanfacine (Chlorhydrate de guanfacine)","MG","",""
"101423","22124","GUANFACINE (GUANFACINE HYDROCHLORIDE)","I","1","MG","","","N","","","Guanfacine (Chlorhydrate de guanfacine)","MG","",""
"101424","22124","GUANFACINE (GUANFACINE HYDROCHLORIDE)","I","2","MG","","","N","","","Guanfacine (Chlorhydrate de guanfacine)","MG","",""
"101425","22124","GUANFACINE (GUANFACINE HYDROCHLORIDE)","I","3","MG","","","N","","","Guanfacine (Chlorhydrate de guanfacine)","MG","",""
"101426","22124","GUANFACINE (GUANFACINE HYDROCHLORIDE)","I","4","MG","","","N","","","Guanfacine (Chlorhydrate de guanfacine)","MG","",""
"101435","196","ALKYL DIMETHYL ETHYLBENZYL AMMONIUM CHLORIDE","I","0.15","%","","","N","W/W","","Chlorure d'alkyl diméthyl éthylbenzyl ammonium","%","","p/p"
"101435","197","BENZALKONIUM CHLORIDE","I","0.15","%","","","N","W/W","","Chlorure de benzalkonium","%","","p/p"
"101439","20883","ABIRATERONE ACETATE","I","250","MG","","","N","","","Acétate d'abiratérone","MG","",""
"101441","7128","HYDROGEN PEROXIDE","I","0.6","%","","","N","W/W","","Peroxyde d'hydrogène","%","","p/p"
"101445","197","BENZALKONIUM CHLORIDE","I","10.74","%","","","N","W/W","","Chlorure de benzalkonium","%","","p/p"
"101445","2232","DIOCTYL DIMETHYL AMMONIUM CHLORIDE","I","16.11","%","","","N","W/W","","Chlorure de dioctyl-diméthyl ammonium","%","","p/p"
"101449","12585","DIMETHYLBENZYL AMMONIUM CHLORIDE","I","7.5","%","","","N","W/W","","Chlorure de diméthylbenzyl ammonium","%","","p/p"
"101453","10193","BISACODYL","I","5","MG","","","N","","","Bisacodyl","MG","",""
"101455","197","BENZALKONIUM CHLORIDE","I","1.54","%","","","N","","","Chlorure de benzalkonium","%","",""
"101455","2730","DIDECYL DIMETHYL AMMONIUM CHLORIDE","I","2.31","%","","","N","","","Chlorure de didécyl-diméthyl ammonium","%","",""
"101459","626","CHLORHEXIDINE GLUCONATE","I","2","%","","","N","W/V","","Gluconate de chlorhexidine","%","","p/v"
"101459","8881","ISOPROPYL ALCOHOL","I","70","%","","","N","V/V","","Alcool isopropylique","%","","v/v"
"101462","20430","DESVENLAFAXINE (DESVENLAFAXINE SUCCINATE)","I","50","MG","","","N","","","Desvenlafaxine (Succinate de desvenlafaxine)","MG","",""
"101464","12048","OCTISALATE","I","5","%","","","N","W/W","","Octisalate","%","","p/p"
"101464","1970","HOMOSALATE","I","10","%","","","N","W/W","","Homosalate","%","","p/p"
"101464","2280","OCTOCRYLENE","I","2.75","%","","","N","W/W","","Octocrilène","%","","p/p"
"101464","755","AVOBENZONE","I","3","%","","","N","W/W","","Avobenzone","%","","p/p"
"101467","12048","OCTISALATE","I","5","%","","","N","W/W","","Octisalate","%","","p/p"
"101467","1970","HOMOSALATE","I","15","%","","","N","W/W","","Homosalate","%","","p/p"
"101467","755","AVOBENZONE","I","3","%","","","N","W/W","","Avobenzone","%","","p/p"
"101477","4046","ALKYL DIMETHYL BENZYL AMMONIUM SACCHARINATE","I","0.1","%","","","N","W/W","","Saccharinate d'alkyl diméthyl benzyl ammonium","%","","p/p"
"101477","8890","ALCOHOL ANHYDROUS","I","58","%","","","N","W/W","","ALCOOL ANHYDRE","%","","p/p"
"101480","197","BENZALKONIUM CHLORIDE","I","0.26","%","","","N","W/W","","Chlorure de benzalkonium","%","","p/p"
"101481","11190","KETAMINE (KETAMINE HYDROCHLORIDE)","I","50","MG","","","N","ML","","Kétamine (Chlorhydrate de kétamine)","MG","","ML"
"101484","270","ACETAMINOPHEN","I","500","MG","","","N","","","Acétaminophène","MG","",""
"101510","197","BENZALKONIUM CHLORIDE","I","0.3","%","","","N","W/W","","Chlorure de benzalkonium","%","","p/p"
"101518","9872","MELPHALAN (MELPHALAN HYDROCHLORIDE)","I","50","MG","","","N","VIAL","","Melphalan (Chlorhydrate de melphalan)","MG","","Fiole"
"101521","196","ALKYL DIMETHYL ETHYLBENZYL AMMONIUM CHLORIDE","I","0.184","%","","","N","W/W","","Chlorure d'alkyl diméthyl éthylbenzyl ammonium","%","","p/p"
"101521","197","BENZALKONIUM CHLORIDE","I","0.184","%","","","N","W/W","","Chlorure de benzalkonium","%","","p/p"
"101524","197","BENZALKONIUM CHLORIDE","I","0.015","%","","","N","W/W","","Chlorure de benzalkonium","%","","p/p"
"101524","2730","DIDECYL DIMETHYL AMMONIUM CHLORIDE","I","0.023","%","","","N","W/W","","Chlorure de didécyl-diméthyl ammonium","%","","p/p"
"101544","196","ALKYL DIMETHYL ETHYLBENZYL AMMONIUM CHLORIDE","I","0.4","%","","","N","W/W","N ALKYL (68% C12, 32% C14) DIMETHYL ETHYLBENZYL AMMONIUM CHLORIDE","Chlorure d'alkyl diméthyl éthylbenzyl ammonium","%","","p/p"
"101549","12538","BOSENTAN (BOSENTAN MONOHYDRATE)","I","62.5","MG","","","N","","","Bosentan (Monohydrate de bosentan)","MG","",""
"101550","12538","BOSENTAN (BOSENTAN MONOHYDRATE)","I","125","MG","","","N","","","Bosentan (Monohydrate de bosentan)","MG","",""
"101559","196","ALKYL DIMETHYL ETHYLBENZYL AMMONIUM CHLORIDE","I","1.2","%","","","N","W/W","","Chlorure d'alkyl diméthyl éthylbenzyl ammonium","%","","p/p"
"101559","197","BENZALKONIUM CHLORIDE","I","1.2","%","","","N","W/W","","Chlorure de benzalkonium","%","","p/p"
"101560","10193","BISACODYL","I","5","MG","","","N","","","Bisacodyl","MG","",""
"101562","196","ALKYL DIMETHYL ETHYLBENZYL AMMONIUM CHLORIDE","I","0.15","%","","","N","W/W","","Chlorure d'alkyl diméthyl éthylbenzyl ammonium","%","","p/p"
"101562","197","BENZALKONIUM CHLORIDE","I","0.15","%","","","N","W/W","","Chlorure de benzalkonium","%","","p/p"
"101563","196","ALKYL DIMETHYL ETHYLBENZYL AMMONIUM CHLORIDE","I","0.15","%","","","N","W/W","","Chlorure d'alkyl diméthyl éthylbenzyl ammonium","%","","p/p"
"101563","197","BENZALKONIUM CHLORIDE","I","0.15","%","","","N","W/W","","Chlorure de benzalkonium","%","","p/p"
"101578","20179","SITAGLIPTIN (SITAGLIPTIN PHOSPHATE MONOHYDRATE)","I","25","MG","","","N","","","Sitagliptine (Phosphate de sitagliptine monohydraté)","MG","",""
"101579","20179","SITAGLIPTIN (SITAGLIPTIN PHOSPHATE MONOHYDRATE)","I","50","MG","","","N","","","Sitagliptine (Phosphate de sitagliptine monohydraté)","MG","",""
"101580","20179","SITAGLIPTIN (SITAGLIPTIN PHOSPHATE MONOHYDRATE)","I","100","MG","","","N","","","Sitagliptine (Phosphate de sitagliptine monohydraté)","MG","",""
"101581","20161","DAPTOMYCIN","I","350","MG","","","N","VIAL","","Daptomycine","MG","","Fiole"
"101589","12048","OCTISALATE","I","4.5","%","","","N","W/W","","Octisalate","%","","p/p"
"101589","1970","HOMOSALATE","I","9","%","","","N","W/W","","Homosalate","%","","p/p"
"101589","2280","OCTOCRYLENE","I","9","%","","","N","W/W","","Octocrilène","%","","p/p"
"101589","755","AVOBENZONE","I","3","%","","","N","W/W","","Avobenzone","%","","p/p"
"101590","12048","OCTISALATE","I","5","%","","","N","W/W","","Octisalate","%","","p/p"
"101590","1970","HOMOSALATE","I","10","%","","","N","W/W","","Homosalate","%","","p/p"
"101590","2280","OCTOCRYLENE","I","10","%","","","N","W/W","","Octocrilène","%","","p/p"
"101590","755","AVOBENZONE","I","3","%","","","N","W/W","","Avobenzone","%","","p/p"
"101591","12048","OCTISALATE","I","5","%","","","N","W/W","","Octisalate","%","","p/p"
"101591","1970","HOMOSALATE","I","10","%","","","N","W/W","","Homosalate","%","","p/p"
"101591","2280","OCTOCRYLENE","I","10","%","","","N","W/W","","Octocrilène","%","","p/p"
"101591","755","AVOBENZONE","I","3","%","","","N","W/W","","Avobenzone","%","","p/p"
"101592","12048","OCTISALATE","I","4.5","%","","","N","W/W","","Octisalate","%","","p/p"
"101592","1970","HOMOSALATE","I","9","%","","","N","W/W","","Homosalate","%","","p/p"
"101592","2280","OCTOCRYLENE","I","9","%","","","N","W/W","","Octocrilène","%","","p/p"
"101592","755","AVOBENZONE","I","3","%","","","N","W/W","","Avobenzone","%","","p/p"
"101595","22614","NINTEDANIB (NINTEDANIB ESYLATE)","I","100","MG","","","N","","","NINTÉDANIB (ESILATE DE NINTÉDANIB.)","MG","",""
"101596","22614","NINTEDANIB (NINTEDANIB ESYLATE)","I","150","MG","","","N","","","NINTÉDANIB (ESILATE DE NINTÉDANIB.)","MG","",""
"101602","13270","BENDAMUSTINE HYDROCHLORIDE","I","25","MG","","","N","VIAL","","Chlorhydrate de bendamustine","MG","","Fiole"
"101603","13270","BENDAMUSTINE HYDROCHLORIDE","I","100","MG","","","N","VIAL","","Chlorhydrate de bendamustine","MG","","Fiole"
"101604","11163","TIMOLOL (TIMOLOL MALEATE)","I","5","MG","","","N","ML","","Timolol (Maléate de timolol)","MG","","ML"
"101604","11213","DORZOLAMIDE (DORZOLAMIDE HYDROCHLORIDE)","I","20","MG","","","N","ML","","Dorzolamide (Chlorhydrate de dorzolamide)","MG","","ML"
"101612","12585","DIMETHYLBENZYL AMMONIUM CHLORIDE","I","7.5","%","","","N","W/W","","Chlorure de diméthylbenzyl ammonium","%","","p/p"
"101614","13270","BENDAMUSTINE HYDROCHLORIDE","I","45","MG","","","N","ML","","Chlorhydrate de bendamustine","MG","","ML"
"101615","13310","AMBRISENTAN","I","5","MG","","","N","","","Ambrisentan","MG","",""
"101616","13310","AMBRISENTAN","I","10","MG","","","N","","","Ambrisentan","MG","",""
"101618","23727","LISOCABTAGENE MARALEUCEL","I","120000000","CELLS","","","N","","60  MILLIONS TO 120 MILLIONS CAR-T CELLS (CAR-POSITIVE VIABLE T CELLS),  CONSISTING OF CD8 AND CD4 C","Lisocabtagène maraleucel","Cellules","",""
"101619","197","BENZALKONIUM CHLORIDE","I","20.32","%","","","N","W/W","","Chlorure de benzalkonium","%","","p/p"
"101619","2218","OCTYL DECYL DIMETHYL AMMONIUM CHLORIDE","I","15.24","%","","","N","W/W","","Chlorure d'octyl décyl diméthyl ammonium","%","","p/p"
"101619","2232","DIOCTYL DIMETHYL AMMONIUM CHLORIDE","I","7.62","%","","","N","W/W","","Chlorure de dioctyl-diméthyl ammonium","%","","p/p"
"101619","2730","DIDECYL DIMETHYL AMMONIUM CHLORIDE","I","7.62","%","","","N","W/W","","Chlorure de didécyl-diméthyl ammonium","%","","p/p"
"101621","13030","ENTECAVIR","I","1","MG","","","N","","","Entécavir","MG","",""
"101634","11104","ONDANSETRON (ONDANSETRON HYDROCHLORIDE DIHYDRATE)","I","2","MG","","","N","ML","","Ondansétron (Chlorhydrate d'ondansétron dihydraté)","MG","","ML"
"101638","9437","PAMABROM","I","50","MG","","","N","","","Pamabrom","MG","",""
"101640","20022","DEFERASIROX","I","90","MG","","","N","","","Déférasirox","MG","",""
"101641","20022","DEFERASIROX","I","180","MG","","","N","","","Déférasirox","MG","",""
"101642","20022","DEFERASIROX","I","360","MG","","","N","","","Déférasirox","MG","",""
"101645","197","BENZALKONIUM CHLORIDE","I","0.13","%","","","N","V/V","","Chlorure de benzalkonium","%","","v/v"
"101657","196","ALKYL DIMETHYL ETHYLBENZYL AMMONIUM CHLORIDE","I","0.05","%","","","N","W/W","","Chlorure d'alkyl diméthyl éthylbenzyl ammonium","%","","p/p"
"101657","197","BENZALKONIUM CHLORIDE","I","0.05","%","","","N","W/W","","Chlorure de benzalkonium","%","","p/p"
"101659","11163","TIMOLOL (TIMOLOL MALEATE)","I","5","MG","","","N","ML","","Timolol (Maléate de timolol)","MG","","ML"
"101659","11213","DORZOLAMIDE (DORZOLAMIDE HYDROCHLORIDE)","I","20","MG","","","N","ML","","Dorzolamide (Chlorhydrate de dorzolamide)","MG","","ML"
"101662","20120","HYPOCHLOROUS ACID","I","0.0338","%","","","N","W/W","","Acide hypochloreux","%","","p/p"
"101669","20120","HYPOCHLOROUS ACID","I","0.0338","%","","","N","W/W","","Acide hypochloreux","%","","p/p"
"101695","20022","DEFERASIROX","I","90","MG","","","N","","","Déférasirox","MG","",""
"101696","20022","DEFERASIROX","I","180","MG","","","N","","","Déférasirox","MG","",""
"101697","20022","DEFERASIROX","I","360","MG","","","N","","","Déférasirox","MG","",""
"101705","196","ALKYL DIMETHYL ETHYLBENZYL AMMONIUM CHLORIDE","I","3","%","","","N","W/W","","Chlorure d'alkyl diméthyl éthylbenzyl ammonium","%","","p/p"
"101705","197","BENZALKONIUM CHLORIDE","I","3","%","","","N","W/W","","Chlorure de benzalkonium","%","","p/p"
"101705","7128","HYDROGEN PEROXIDE","I","6.3","%","","","N","W/W","","Peroxyde d'hydrogène","%","","p/p"
"101708","12048","OCTISALATE","I","5","%","","","N","W/W","","Octisalate","%","","p/p"
"101708","12049","OCTINOXATE","I","5","%","","","N","W/W","","Octinoxate","%","","p/p"
"101708","1970","HOMOSALATE","I","10","%","","","N","W/W","","Homosalate","%","","p/p"
"101708","2280","OCTOCRYLENE","I","2","%","","","N","W/W","","Octocrilène","%","","p/p"
"101708","7289","ZINC OXIDE","I","8","%","","","N","W/W","","Oxyde de zinc","%","","p/p"
"101726","20387","RIVAROXABAN","I","10","MG","","","N","","","Rivaroxaban","MG","",""
"101727","20387","RIVAROXABAN","I","15","MG","","","N","","","Rivaroxaban","MG","",""
"101728","20387","RIVAROXABAN","I","20","MG","","","N","","","Rivaroxaban","MG","",""
"101734","539","SODIUM HYPOCHLORITE","I","0.5","%","","","N","W/W","","Hypochlorite de sodium","%","","p/p"
"101736","20120","HYPOCHLOROUS ACID","I","0.0338","%","","","N","W/W","","Acide hypochloreux","%","","p/p"
"101737","23748","LETIBOTULINUMTOXINA","I","50","UNIT","","","N","VIAL","","Létibotulinumtoxina","Unité","","Fiole"
"101738","11787","CAPECITABINE","I","150","MG","","","N","","","Capécitabine","MG","",""
"101739","11787","CAPECITABINE","I","500","MG","","","N","","","Capécitabine","MG","",""
"101741","11213","DORZOLAMIDE (DORZOLAMIDE HYDROCHLORIDE)","I","2","%","","","N","W/V","","Dorzolamide (Chlorhydrate de dorzolamide)","%","","p/v"
"101746","11163","TIMOLOL (TIMOLOL MALEATE)","I","5","MG","","","N","ML","","Timolol (Maléate de timolol)","MG","","ML"
"101746","11213","DORZOLAMIDE (DORZOLAMIDE HYDROCHLORIDE)","I","20","MG","","","N","ML","","Dorzolamide (Chlorhydrate de dorzolamide)","MG","","ML"
"101751","10303","ACETYLCYSTEINE","I","200","MG","","","N","ML","","Acétylcystéine","MG","","ML"
"101758","22541","APREMILAST","I","10","MG","","","N","","","APREMILAST","MG","",""
"101758","22541","APREMILAST","I","20","MG","","","N","","","APREMILAST","MG","",""
"101758","22541","APREMILAST","I","30","MG","","","N","","","APREMILAST","MG","",""
"101759","22541","APREMILAST","I","30","MG","","","N","","","APREMILAST","MG","",""
"101764","637","FLUTICASONE PROPIONATE","I","50","MCG","","","N","ACT","","Propionate de fluticasone","MCG","","Actionnement"
"101778","197","BENZALKONIUM CHLORIDE","I","0.2","%","","","N","W/W","","Chlorure de benzalkonium","%","","p/p"
"101778","2730","DIDECYL DIMETHYL AMMONIUM CHLORIDE","I","0.3","%","","","N","W/W","","Chlorure de didécyl-diméthyl ammonium","%","","p/p"
"101778","8890","ALCOHOL ANHYDROUS","I","55","%","","","N","W/W","","ALCOOL ANHYDRE","%","","p/p"
"101780","167","TACROLIMUS","I","0.5","MG","","","N","","","Tacrolimus","MG","",""
"101781","167","TACROLIMUS","I","1","MG","","","N","","","Tacrolimus","MG","",""
"101782","167","TACROLIMUS","I","2","MG","","","N","","","Tacrolimus","MG","",""
"101783","167","TACROLIMUS","I","3","MG","","","N","","","Tacrolimus","MG","",""
"101784","167","TACROLIMUS","I","5","MG","","","N","","","Tacrolimus","MG","",""
"101786","349","ROCURONIUM BROMIDE","I","10","MG","","","N","ML","","Bromure de rocuronium","MG","","ML"
"101787","8502","BACITRACIN","I","50000","UNIT","","","N","VIAL","","Bacitracine","Unité","","Fiole"
"101789","11241","PIPERACILLIN (PIPERACILLIN SODIUM)","I","2","G","","","N","VIAL","","Pipéracilline (Pipéracilline sodique)","G","","Fiole"
"101789","11242","TAZOBACTAM (TAZOBACTAM SODIUM)","I","0.25","G","","","N","VIAL","","Tazobactam (Tazobactam sodique)","G","","Fiole"
"101790","11241","PIPERACILLIN (PIPERACILLIN SODIUM)","I","3","G","","","N","VIAL","","Pipéracilline (Pipéracilline sodique)","G","","Fiole"
"101790","11242","TAZOBACTAM (TAZOBACTAM SODIUM)","I","0.375","G","","","N","VIAL","","Tazobactam (Tazobactam sodique)","G","","Fiole"
"101791","11241","PIPERACILLIN (PIPERACILLIN SODIUM)","I","4","G","","","N","VIAL","","Pipéracilline (Pipéracilline sodique)","G","","Fiole"
"101791","11242","TAZOBACTAM (TAZOBACTAM SODIUM)","I","0.5","G","","","N","VIAL","","Tazobactam (Tazobactam sodique)","G","","Fiole"
"101793","13326","PEMETREXED (PEMETREXED DISODIUM)","I","100","MG","","","N","VIAL","AS PEMETREXED DISODIUM HEMIPENTAHYDRATE","Pémétrexed (Pémétrexed disodique)","MG","","Fiole"
"101794","13326","PEMETREXED (PEMETREXED DISODIUM)","I","500","MG","","","N","VIAL","AS PEMETREXED DISODIUM HEMIPENTAHYDRATE","Pémétrexed (Pémétrexed disodique)","MG","","Fiole"
