DRUG_CODE,PRODUCT_CATEGORIZATION,CLASS,DRUG_IDENTIFICATION_NUMBER,BRAND_NAME,DESCRIPTOR,PEDIATRIC_FLAG,ACCESSION_NUMBER,NUMBER_OF_AIS,LAST_UPDATE_DATE,AI_GROUP_NO,CLASS_F,BRAND_NAME_F,DESCRIPTOR_F
"90847","","Human","02423774","CISATRACURIUM BESYLATE INJECTION SINGLE DOSE","PRESERVATIVE-FREE. 10MG/5ML.","N","","1","21-JUL-2015","0133260001","Humain","",""
"91406","","Human","02429616","RAN-OLANZAPINE IR","","N","","1","19-AUG-2014","0128783004","Humain","",""
"91407","","Human","02429624","RAN-OLANZAPINE IR","","N","","1","19-AUG-2014","0128783002","Humain","",""
"91408","","Human","02429632","RAN-OLANZAPINE IR","","N","","1","19-AUG-2014","0128783005","Humain","",""
"91409","","Human","02429640","RAN-OLANZAPINE IR","","N","","1","19-AUG-2014","0128783006","Humain","",""
"94906","","Human","02461447","ICY HOT LIDOCAINE PAIN RELIEVING CREAM PLUS MENTHOL","","N","","2","23-JAN-2024","0233049001","Humain","",""
"94912","","Human","02461498","BROAD DEFENSE","","N","","3","29-JAN-2024","0335121006","Humain","",""
"89776","","Human","02413035","APO-TEMOZOLOMIDE","","N","","1","30-APR-2014","0138781001","Humain","",""
"89777","","Human","02413043","APO-TEMOZOLOMIDE","","N","","1","30-APR-2014","0138781002","Humain","",""
"89778","","Human","02413094","APO-TEMOZOLOMIDE","","N","","1","30-APR-2014","0138781003","Humain","",""
"89779","","Human","02413116","APO-TEMOZOLOMIDE","","N","","1","30-APR-2014","0138781006","Humain","",""
"89780","","Human","02413124","APO-TEMOZOLOMIDE","","N","","1","30-APR-2014","0138781005","Humain","",""
"89781","","Human","02413132","APO-TEMOZOLOMIDE","","N","","1","30-APR-2014","0138781004","Humain","",""
"90318","","Human","02418622","LUPIN-CELECOXIB","","N","","1","27-NOV-2014","0137043002","Humain","",""
"94147","","Human","02454785","TRANEXAMIC ACID INJECTION","","N","","1","20-NOV-2023","0114760002","Humain","ACIDE TRANEXAMIQUE INJECTABLE",""
"94159","","Human","02454815","ZONTIVITY","","N","","1","29-JAN-2024","0158150001","Humain","",""
"94160","","Human","02454823","METOJECT SUBCUTANEOUS","SINGLE-USE PREFILLED SYRINGES","N","","1","29-JAN-2024","0107545005","Humain","METOJECT SOUS-CUTANÉE","SERINGUES PRÉREMPLIES À USAGE UNIQUE"
"95619","","Human","02467852","VORICONAZOLE FOR INJECTION","SINGLE DOSE VIAL","N","","1","01-FEB-2024","0150242002","Humain","VORICONAZOLE POUR INJECTION","FIOLE UNIQUE DOSE"
"90376","","Human","02419238","IPG-GALANTAMINE ER","","N","","1","29-JAN-2024","0144660002","Humain","",""
"94106","","Human","02454483","EPTIFIBATIDE INJECTION","INFUSION VIAL. SINGLE USE.","N","","1","30-JAN-2024","0137621001","Humain","",""
"94107","","Human","02454491","EPTIFIBATIDE INJECTION","BOLUS VIAL. SINGLE USE","N","","1","30-JAN-2024","0137621002","Humain","",""
"94170","","Disinfectant","02454890","PEROXCIDE TRIUMPH WIPES","","N","","1","19-JAN-2024","0106899010","Désinfectant","",""
"90401","","Human","02419386","OLANZAPINE","","N","","1","01-MAY-2014","0128783001","Humain","",""
"90402","","Human","02419394","OLANZAPINE","","N","","1","01-MAY-2014","0128783003","Humain","",""
"90403","","Human","02419408","OLANZAPINE","","N","","1","01-MAY-2014","0128783004","Humain","",""
"90404","","Human","02419416","OLANZAPINE","","N","","1","01-MAY-2014","0128783002","Humain","",""
"90405","","Human","02419424","OLANZAPINE","","N","","1","01-MAY-2014","0128783005","Humain","",""
"90406","","Human","02419432","OLANZAPINE","","N","","1","01-MAY-2014","0128783006","Humain","",""
"90407","","Human","02419440","ZOLMITRIPTAN-ODT","","N","","1","01-JUN-2016","0134381001","Humain","",""
"92686","","Human","02442515","MED-OLMESARTAN","","N","","1","01-MAY-2017","0152496002","Humain","",""
"92687","","Human","02442523","MED-OLMESARTAN","","N","","1","01-MAY-2017","0152496003","Humain","",""
"94140","","Human","02454718","RIVA-TADALAFIL","","N","","1","31-JAN-2024","0149485003","Humain","",""
"94142","","Human","02454734","RIVA-TADALAFIL","","N","","1","31-JAN-2024","0149485001","Humain","",""
"93178","","Human","02446448","ADVATE","BAXJ. III. 5 ML DILUENT. ANTIHEM. FACTOR (RECOMB.)PLASMA/ALBUMIN-FREE.","N","","1","29-JAN-2024","0124180002","Humain","ADVATE","BAXJ. III. 5 ML DILUANT. FACT. ANTIHEM (RECOMB.) NON DÉRIVÉ DU PLASMA/ALBUM."
"93181","","Human","02446472","ADVATE","BAXJ. III. 5 ML DILUENT. ANTIHEM. FACTOR (RECOMB.)PLASMA/ALBUMIN-FREE.","N","","1","29-JAN-2024","0124180006","Humain","ADVATE","BAXJ. III. 5 ML DILUANT. FACT. ANTIHEM (RECOMB.) NON DÉRIVÉ DU PLASMA/ALBUM."
"93182","","Human","02446480","ADVATE","BAXJ. III. 5 ML DILUENT. ANTIHEM. FACTOR (RECOMB.)PLASMA/ALBUMIN-FREE.","N","","1","29-JAN-2024","0124180007","Humain","ADVATE","BAXJ. III. 5 ML DILUANT. FACT. ANTIHEM (RECOMB.) NON DÉRIVÉ DU PLASMA/ALBUM."
"95671","","Human","02468263","METHACHOLINE CHLORIDE, USP","","N","","1","01-FEB-2024","0136042001","Humain","CHLORURE DE MÉTHACHOLINE, USP",""
"95672","","Human","02468271","METHACHOLINE CHLORIDE, USP","","N","","1","01-FEB-2024","0136042004","Humain","CHLORURE DE MÉTHACHOLINE, USP",""
"95673","","Human","02468298","METHACHOLINE CHLORIDE, USP","","N","","1","01-FEB-2024","0136042005","Humain","CHLORURE DE MÉTHACHOLINE, USP",""
"95674","","Human","02468301","METHACHOLINE CHLORIDE, USP","","N","","1","01-FEB-2024","0136042002","Humain","CHLORURE DE MÉTHACHOLINE, USP",""
"95675","","Human","02468328","METHACHOLINE CHLORIDE, USP","","N","","1","01-FEB-2024","0136042007","Humain","CHLORURE DE MÉTHACHOLINE, USP",""
"78401","","Human","02298708","ACETAMINOPHEN ELIXIR WITH 8MG CODEINE PHOSPHATE SYRUP","","N","","2","23-JUN-2021","0211376002","Humain","",""
"89800","CAT IV - ANTISEPTIC SKIN CLEANSERS","Veterinary","02413329","IODINE FORTE 16%","","N","","3","24-SEP-2013","0311686003","Vétérinaire","",""
"95334","","Disinfectant","02465132","NUGEN RCS-256 PLUS","","N","","4","21-DEC-2023","0414758008","Désinfectant","",""
"95335","","Disinfectant","02465140","NUGEN RCS-128 PLUS","","N","","4","21-DEC-2023","0414758011","Désinfectant","",""
"95336","","Disinfectant","02465159","NUGEN RCS-128","","N","","4","20-DEC-2023","0414758011","Désinfectant","",""
"95338","","Disinfectant","02465175","NUGEN RCS-256","","N","","4","21-DEC-2023","0414758008","Désinfectant","",""
"95340","","Human","02465191","LORIS I.V. PRO - PREFILLED APPLICATOR WITH SOLUTION","10.5 ML, 26 ML AND 35 ML APPLICATOR","N","","2","24-JAN-2024","0213979006","Humain","LORIS I.V. PRO - APPLICATEUR AVEC SOLUTION",""
"91750","","Human","02433095","FLUCONAZOLE 150","","N","","1","20-MAR-2015","0122529004","Humain","",""
"93202","","Human","02446596","IPG-CANDESARTAN","","N","","1","30-JAN-2024","0135220001","Humain","",""
"93203","","Human","02446618","IPG-CANDESARTAN","","N","","1","30-JAN-2024","0135220002","Humain","",""
"77504","","Human","02289709","CEFTRIAXONE FOR INJECTION","","N","","1","06-JUL-2016","0117292006","Humain","",""
"92703","","Veterinary","02442698","RILEXINE CHEWABLE TABLETS","","N","","1","24-JUN-2015","0105911006","Vétérinaire","",""
"78514","","Human","02299771","TARO-QUINAPRIL","","N","","1","06-FEB-2024","0123206003","Humain","",""
"86951","","Human","02383748","HALOPERIDOL DECANOATE INJECTION","SINGLE-DOSE VIAL","N","","1","12-JAN-2024","0101774007","Humain","DÉCANOATE D'HALOPÉRIDOL INJECTABLE","FIOLE UNIDOSE"
"91734","","Human","02432935","TRINTELLIX","","N","","1","26-MAY-2015","0156170003","Humain","",""
"91760","","Human","02433206","OXALIPLATIN INJECTION USP","SINGLE USE VIALS","N","","1","12-JAN-2024","0152220003","Humain","",""
"91764","LS - COUGH AND COLD","Human","02433249","MUCINEX MULTI-ACTION CONGESTION, STUFFY NOSE & COUGH LIQUID","","N","","3","14-JUN-2024","0300674005","Humain","",""
"91765","LS - COUGH AND COLD","Human","02433257","MUCINEX MULTI-ACTION WET & DRY COUGH LIQUID","","N","","2","26-JUN-2024","0200826012","Humain","",""
"90219","","Human","02417480","ESOMEPRAZOLE","","N","","1","13-FEB-2024","0145162001","Humain","",""
"90221","","Human","02417499","ESOMEPRAZOLE","","N","","1","13-FEB-2024","0145162002","Humain","",""
"94522","","Human","02458179","NARCAN NASAL SPRAY","SINGLE-DOSE","N","","1","01-FEB-2024","0108981004","Humain","",""
"92709","","Human","02442744","YASMIN PLUS","","N","","4","30-OCT-2015","0453183002","Humain","YASMIN PLUS",""
"92713","","Human","02442752","ROCURONIUM BROMIDE INJECTION","","N","","1","30-JAN-2024","0126317001","Humain","BROMURE DE ROCURONIUM INJECTABLE",""
"92720","","Human","02442787","TOTAL FLU","","N","","5","19-JAN-2024","0524752002","Humain","TOTALE GRIPPE",""
"92721","","Human","02442795","COLD AND SINUS","","N","","3","17-JAN-2024","0322542001","Humain","RHUME ET SINUS",""
"90891","","Human","02424193","MINT-PREGABALIN","","N","","1","30-OCT-2023","0151121004","Humain","",""
"90893","","Human","02424215","MINT-PREGABALIN","","N","","1","30-OCT-2023","0151121006","Humain","",""
"90895","","Human","02424231","MINT-PREGABALIN","","N","","1","30-OCT-2023","0151121008","Humain","",""
"90901","","Human","02424304","SILDENAFIL","","N","","1","24-OCT-2023","0136261001","Humain","",""
"90328","","Human","02418711","IPG-CELECOXIB","","N","","1","13-FEB-2024","0137043002","Humain","",""
"90341","","Human","02418878","IPG-RAMIPRIL","","N","","1","06-FEB-2024","0122858003","Humain","",""
"90346","","Human","02418924","ZOLMITRIPTAN","","N","","1","06-JUN-2018","0134381001","Humain","",""
"91803","","Human","02433672","LANSOPRAZOLE","","N","","1","27-AUG-2015","0127666001","Humain","LANSOPRAZOLE",""
"90576","","Human","02421151","AMLODIPINE","","N","","1","20-NOV-2023","0131437002","Humain","",""
"93871","","Human","02452332","MAR-AZITHROMYCIN","","N","","1","30-JAN-2024","0126072005","Humain","",""
"91540","","Human","02430975","IPG-PRAVASTATIN","","N","","1","29-JAN-2024","0122563002","Humain","",""
"84081","","Human","02355590","IPG-AMLODIPINE","","N","","1","23-JAN-2024","0131437002","Humain","",""
"84082","","Human","02355604","IPG-AMLODIPINE","","N","","1","23-JAN-2024","0131437001","Humain","",""
"81143","","Human","02326094","IPG-ANASTROZOLE","","N","","1","23-JAN-2024","0128681001","Humain","IPG-ANASTROZOLE",""
"93456","","Human","02448815","CASPOFUNGIN POWDER FOR INJECTION","SINGLE DOSE VIAL","N","","1","01-FEB-2024","0144763001","Humain","",""
"93457","","Human","02448823","CASPOFUNGIN POWDER FOR INJECTION","SINGLE DOSE VIAL","N","","1","01-FEB-2024","0144763002","Humain","",""
"92464","","Human","02440261","SEPTA-CANDESARTAN HCTZ","","N","","2","20-MAY-2015","0244181002","Humain","",""
"92465","","Human","02440288","SEPTA-CANDESARTAN HCTZ","","N","","2","20-MAY-2015","0244181003","Humain","",""
"93892","","Human","02452545","VPI-PIPERACILLIN AND TAZOBACTAM FOR INJECTION","","N","","2","06-NOV-2023","0225919004","Humain","",""
"93893","","Human","02452553","VPI-PIPERACILLIN AND TAZOBACTAM FOR INJECTION","","N","","2","06-NOV-2023","0225919005","Humain","",""
"93894","","Human","02452561","VPI-PIPERACILLIN AND TAZOBACTAM FOR INJECTION","","N","","2","06-NOV-2023","0225919006","Humain","",""
"93895","","Human","02452588","VPI-PIPERACILLIN AND TAZOBACTAM FOR INJECTION","","N","","2","06-NOV-2023","0225919007","Humain","",""
"93896","","Human","02452596","VPI-PIPERACILLIN AND TAZOBACTAM FOR INJECTION","","N","","2","06-NOV-2023","0225919008","Humain","",""
"92975","","Human","02444666","MINT-LATANOPROST/TIMOLOL","","N","","2","13-AUG-2015","0248501002","Humain","",""
"92982","CAT IV - ACNE THERAPY","Human","02444690","ADASEPT B.P.2.5 ACNE GEL","","N","","1","19-JAN-2024","0107205004","Humain","",""
"91058","","Human","02425955","IPG-CETIRIZINE","","N","","1","27-NOV-2023","0122686002","Humain","",""
"91059","","Human","02425963","IPG-CETIRIZINE","","N","","1","29-JAN-2024","0122686001","Humain","",""
"73912","","Human","02254204","ZOMORPH","","N","","1","28-JUN-2021","0104545010","Humain","",""
"73913","","Human","02254212","ZOMORPH","","N","","1","28-JUN-2021","0104545017","Humain","",""
"92010","","Human","02435756","X3 ON THE GO FIRST AID BITE RELIEF SPRAY","","N","","1","09-MAY-2016","0103565004","Humain","",""
"92011","","Human","02435764","X3 ON THE GO FIRST AID BURN RELIEF SPRAY","","N","","1","09-MAY-2016","0103565006","Humain","",""
"92012","","Human","02435772","APO-SITAGLIPTIN-METFORMIN","","N","","2","24-OCT-2022","0252656001","Humain","",""
"92013","","Human","02435780","APO-SITAGLIPTIN-METFORMIN","","N","","2","24-OCT-2022","0252656002","Humain","",""
"92014","","Human","02435799","APO-SITAGLIPTIN-METFORMIN","","N","","2","24-OCT-2022","0252656003","Humain","",""
"92022","","Human","02435888","ACID CONCENTRATE A1295","","N","","6","19-JAN-2024","0617386469","Humain","CONCENTRÉ ACIDE A1295",""
"72215","","Human","02247906","PREFESTA","1 PINK TABLET AND 1 OFF-WHITE TABLET","N","","3","03-JUN-2015","0349406001","Humain","",""
"76194","","Human","02276267","ASPIRIN RAPID RELIEF","","N","","2","25-AUG-2017","0201233009","Humain","",""
"91063","CAT IV - HARD SURFACE DISINFECTANTS","Disinfectant","02426013","CLOROX BLEACH GEL CLEANER AND DISINFECTANT","","N","","1","22-AUG-2014","0106897007","Désinfectant","",""
"74426","","Human","02258978","MUSCLE AND BACK PAIN RELIEF CAPLETS","","N","","3","08-JUN-2021","0317152001","Humain","",""
"94686","","Human","02459558","AFSTYLA","ANTIHEMOPHILIC FACTOR VIII (RECOMBINANT), SINGLE CHAIN","N","","1","30-JAN-2024","0158610002","Humain","AFSTYLA","FACTEUR ANTIHÉMOPHILIQUE (F.VIII), (RECOMBINANT), CHAÎNE UNIQUE"
"94687","","Human","02459566","AFSTYLA","ANTIHEMOPHILIC FACTOR VIII (RECOMBINANT), SINGLE CHAIN","N","","1","30-JAN-2024","0158610003","Humain","AFSTYLA","FACTEUR ANTIHÉMOPHILIQUE (F. VIII), (RECOMBINANT), CHAÎNE UNIQUE"
"94688","","Human","02459574","AFSTYLA","ANTIHEMOPHILIC FACTOR VIII (RECOMBINANT), SINGLE CHAIN","N","","1","30-JAN-2024","0158610004","Humain","AFSTYLA","FACTEUR ANTIHÉMOPHILIQUE (F. VIII), (RECOMBINANT), CHAÎNE UNIQUE"
"94691","","Human","02459604","AFSTYLA","ANTIHEMOPHILIC FACTOR VIII (RECOMBINANT), SINGLE CHAIN","N","","1","30-JAN-2024","0158610007","Humain","AFSTYLA","FACTEUR ANTIHÉMOPHILIQUE (F. VIII), (RECOMBINANT), CHAÎNE UNIQUE."
"63574","CAT IV - ATHLETES FOOT TREATMENTS","Human","02240064","CANESTEN POWDER","","N","","1","26-OCT-2018","0102537001","Humain","",""
"68075","LS - LAXATIVES (GENERAL)","Human","02244117","PHILLIP'S FIBRECAPS","","N","","1","25-AUG-2017","0144341001","Humain","",""
"103566","CAT IV - SUNBURN PROTECTANTS","Human","02547007","FOUNDATION PRIMER SUNSCREEN BROAD SPECTRUM SPF 15","","N","","4","19-APR-2024","0451521130","Humain","",""
"86389","","Human","02378116","PG-METFORMIN","","N","","1","29-JAN-2024","0101773001","Humain","",""
"86390","","Human","02378124","PG-METFORMIN","","N","","1","29-JAN-2024","0101773002","Humain","",""
"86384","","Human","02378051","IPG-METFORMIN","","N","","1","05-FEB-2024","0101773002","Humain","",""
"93878","","Human","02452391","RIVA-SILDENAFIL","","N","","1","31-JAN-2024","0136261001","Humain","",""
"103440","","Disinfectant","02545659","TOTAL SOLUTIONS SPEC4 DISINFECTANT WIPES","","N","","4","23-FEB-2024","0414758052","Désinfectant","",""
"82596","CAT IV - HARD SURFACE DISINFECTANTS","Disinfectant","02340399","SC-AHD-256 II","","N","","2","16-JAN-2024","0213172002","Désinfectant","",""
"95115","","Human","02463245","TEVA-EVEROLIMUS","","N","","1","01-FEB-2024","0152682009","Humain","",""
"81998","","Disinfectant","02334305","DISINFECTANT CLEANER READY TO USE","","N","","2","23-JUL-2021","0205019008","Désinfectant","",""
"94298","","Human","02456125","CASPOFUNGIN ACETATE FOR INJECTION","SINGLE-DOSE VIAL","N","","1","29-JAN-2024","0144763002","Humain","ACÉTATE DE CASPOFUNGINE POUR INJECTION","FIOLE A DOSE UNIQUE"
"101764","","Human","02528428","APO-FLUTICASONE HFA","","N","","1","24-OCT-2023","0124685001","Humain","",""
"91356","","Human","02429128","IPG-AMITRIPTYLINE","","N","","1","24-JAN-2024","0101524004","Humain","",""
"93907","","Disinfectant","02452677","KLORSEPT","INN NAME - TROCLOSENE SODIUM","N","","1","19-JAN-2024","0109236005","Désinfectant","",""
"94318","","Human","02456303","EXTRA STRENGTH SLEEP AID","","N","","1","23-JAN-2024","0102639001","Humain","",""
"91071","","Human","02426102","GMS HPG HAND SANITIZER","","N","","1","19-JAN-2024","0104993004","Humain","",""
"91072","","Human","02426110","CANDESARTAN CILEXETIL AND HYDROCHLOROTHIAZIDE TABLETS","","N","","2","05-MAY-2017","0244181002","Humain","",""
"91073","","Human","02426129","CANDESARTAN CILEXETIL AND HYDROCHLOROTHIAZIDE TABLETS","","N","","2","05-MAY-2017","0244181003","Humain","",""
"92941","","Human","02444372","PLEGRIDY","PRE-FILLED SYRINGE OR PRE-FILLED PEN","N","","1","09-MAY-2022","0157230001","Humain","",""
"92942","","Human","02444380","PLEGRIDY","PRE-FILLED SYRINGE OR PRE-FILLED PEN","N","","1","09-MAY-2022","0157230002","Humain","",""
"101595","","Human","02526891","AURO-NINTEDANIB","","N","","1","06-NOV-2023","0157030001","Humain","",""
"90536","","Human","02420791","IPG-CLOPIDOGREL","","N","","1","13-FEB-2024","0134440001","Humain","",""
"90537","","Human","02420805","IPG-CLOPIDOGREL","","N","","1","13-FEB-2024","0134440002","Humain","",""
"98317","","Human","02493187","NETILDEX","WITH PRESERVATIVE","N","","2","01-FEB-2024","0261930001","Humain","","AVEC AGENT DE CONSERVATION"
"89913","","Human","02414481","PREGABALIN","","N","","1","30-OCT-2023","0151121005","Humain","",""
"89914","","Human","02414503","PREGABALIN","","N","","1","30-OCT-2023","0151121007","Humain","",""
"89915","","Human","02414511","PREGABALIN","","N","","1","30-OCT-2023","0151121008","Humain","",""
"89926","","Human","02414635","IRBESARTAN","","N","","1","18-JUL-2019","0131700001","Humain","",""
"89927","","Human","02414643","IRBESARTAN","","N","","1","18-JUL-2019","0131700002","Humain","",""
"91134","","Human","02426773","NEGATIVE SKIN TEST CONTROL - GLYCERIN","FOR SCRATCH, PRICK, PUNCTURE.  PRESERVATIVE.","N","","1","28-AUG-2014","0106922014","Humain","",""
"75817","","Disinfectant","02272679","MAQUAT 5.5-M","","N","","4","16-JAN-2024","0414758004","Désinfectant","",""
"90674","","Human","02422034","CISPLATIN INJECTION","TO BE DILUTED. 50ML & 100ML SINGLE USE VIALS","N","","1","10-MAR-2014","0113245002","Humain","",""
"89928","","Human","02414651","IRBESARTAN","","N","","1","18-JUL-2019","0131700003","Humain","",""
"90593","","Human","02421291","MINT-RAMIPRIL","","N","","1","14-MAR-2014","0122858001","Humain","",""
"90010","","Human","02415518","SELECTBAG ONE (AX 2550 G)","SINGLE USE","N","","5","07-MAY-2024","0554851017","Humain","","USAGE UNIQUE"
"93855","","Veterinary","02452170","MELOXIDYL","","N","","1","30-JAN-2024","0131676001","Vétérinaire","",""
"89987","","Human","02415259","IPG-PANTOPRAZOLE","","N","","1","05-FEB-2024","0133229002","Humain","",""
"95131","","Veterinary","02463350","CEFASEPTIN 75 MG","","N","","1","30-JAN-2024","0105911009","Vétérinaire","",""
"92386","","Veterinary","02439476","CV PROPYLENE GLYCOL","","N","","5","01-APR-2015","0509976001","Vétérinaire","",""
"89988","","Human","02415267","IPG-PANTOPRAZOLE","","N","","1","05-FEB-2024","0133229001","Humain","",""
"85591","","Human","02370794","IPG-LETROZOLE","","N","","1","23-JAN-2024","0132937001","Humain","",""
"87633","","Human","02390949","IPG-GABAPENTIN","","N","","1","19-JAN-2024","0125929001","Humain","",""
"87634","","Human","02390957","IPG-GABAPENTIN","","N","","1","30-JAN-2024","0125929003","Humain","",""
"90377","","Human","02419246","IPG-GALANTAMINE ER","","N","","1","29-JAN-2024","0144660004","Humain","",""
"90378","","Human","02419254","IPG-GALANTAMINE ER","","N","","1","29-JAN-2024","0144660005","Humain","",""
"88628","","Human","02401363","IPG-SILDENAFIL","","N","","1","06-FEB-2024","0136261001","Humain","",""
"88629","","Human","02401371","IPG-SILDENAFIL","","N","","1","06-FEB-2024","0136261002","Humain","",""
"94277","","Human","02455900","TRANEXAMIC ACID INJECTION BP","SINGLE USE VIAL","N","","1","12-JAN-2024","0114760002","Humain","ACIDE TRANEXAMIQUE INJECTABLE BP",""
"94300","","Human","02456168","OLOPATADINE OPHTHALMIC SOLUTION","","N","","1","05-FEB-2024","0132394001","Humain","",""
"85458","","Human","02369664","IPG-CITALOPRAM","","N","","1","05-FEB-2024","0136243003","Humain","",""
"78785","","Human","02302543","IPG-CITALOPRAM","","N","","1","05-FEB-2024","0136243002","Humain","",""
"95490","CAT IV - SUNBURN PROTECTANTS","Human","02466562","AQUAPOWER","","N","","3","26-JAN-2024","0335121027","Humain","",""
"92957","","Human","02444518","PREGABALIN CAPSULES","","N","","1","13-AUG-2015","0151121001","Humain","",""
"92958","","Human","02444526","PREGABALIN CAPSULES","","N","","1","13-AUG-2015","0151121002","Humain","",""
"92959","","Human","02444534","PREGABALIN CAPSULES","","N","","1","13-AUG-2015","0151121003","Humain","",""
"92960","","Human","02444542","PREGABALIN CAPSULES","","N","","1","13-AUG-2015","0151121004","Humain","",""
"92961","","Human","02444550","PREGABALIN CAPSULES","","N","","1","13-AUG-2015","0151121005","Humain","",""
"92962","","Human","02444569","PREGABALIN CAPSULES","","N","","1","13-AUG-2015","0151121006","Humain","",""
"92963","","Human","02444577","PREGABALIN CAPSULES","","N","","1","13-AUG-2015","0151121007","Humain","",""
"92964","","Human","02444585","PREGABALIN CAPSULES","","N","","1","13-AUG-2015","0151121008","Humain","",""
"92968","","Human","02444607","STRENSIQ","12MG/0.3ML SINGLE USE VIAL","N","","1","01-MAR-2024","0157271001","Humain","",""
"93439","","Human","02448688","IPG-TADALAFIL","","N","","1","06-FEB-2024","0149485001","Humain","",""
"93440","","Human","02448696","IPG-TADALAFIL","","N","","1","07-FEB-2024","0149485002","Humain","",""
"91682","","Human","02432358","MAR-CANDESARTAN / HCTZ","","N","","2","06-FEB-2024","0244181003","Humain","",""
"94229","","Human","02455528","PEMETREXED","","N","","1","29-JAN-2024","0150104001","Humain","",""
"94230","","Human","02455498","PEMETREXED","","N","","1","29-JAN-2024","0150104002","Humain","",""
"91974","","Human","02435438","IPG-IRBESARTAN","","N","","1","30-JAN-2024","0131700001","Humain","",""
"87303","","Human","02387441","OPTIRAY 300 (ULTRAJECT)","PRE-FILLED SYRINGES","N","","1","30-JAN-2024","0131317003","Humain","",""
"101596","","Human","02526905","AURO-NINTEDANIB","","N","","1","06-NOV-2023","0157030002","Humain","",""
"90551","","Human","02420929","EXTRA STRENGTH MULTI-SYMPTOM RELIEF SUGAR FREE","","N","","3","17-JAN-2024","0351461005","Humain","",""
"94238","","Human","02455579","LUBRICANT EYE DROPS","","N","","2","23-JAN-2024","0233242001","Humain","",""
"94583","","Human","02458691","APO-TRAVOPROST-TIMOLOL PQ","","N","","2","14-FEB-2024","0251602001","Humain","",""
"75435","","Veterinary","02268957","NEOMYCIN SOLUBLE 50%","","N","","1","25-JAN-2024","0105571006","Vétérinaire","",""
"91605","","Human","02431564","AURO-FAMCICLOVIR","","N","","1","22-MAY-2015","0127885003","Humain","",""
"91606","","Human","02431572","AURO-FAMCICLOVIR","","N","","1","22-MAY-2015","0127885001","Humain","",""
"91607","","Human","02431580","AURO-FAMCICLOVIR","","N","","1","22-MAY-2015","0127885002","Humain","",""
"92003","","Disinfectant","02435691","MAQUAT 2420 TBD-9","","N","","2","27-MAY-2015","0213172034","Désinfectant","",""
"92004","","Veterinary","02435705","TILDREN","","N","","1","16-NOV-2023","0133062002","Vétérinaire","",""
"70799","","Veterinary","02246611","DRONCIT 9% ORAL PASTE FOR HORSES","","N","","1","30-JAN-2024","0113513008","Vétérinaire","",""
"90574","","Human","02421127","MINT-LATANOPROST","","N","","1","27-MAY-2014","0132916002","Humain","",""
"93286","","Human","02447312","LIDOCAINE HYDROCHLORIDE INJECTION","SINGLE USE","N","","1","16-MAY-2016","0101280004","Humain","",""
"93287","","Human","02447320","LIDOCAINE HYDROCHLORIDE INJECTION","SINGLE USE","N","","1","03-OCT-2018","0101280001","Humain","",""
"93302","","Human","02447436","SEPTA-CANDESARTAN","","N","","1","01-FEB-2024","0135220004","Humain","",""
"91975","","Human","02435446","IPG-IRBESARTAN","","N","","1","30-JAN-2024","0131700002","Humain","",""
"95473","","Disinfectant","02466384","CLOROX SCENTIVA DISINFECTING WIPES","","N","","2","25-JAN-2024","0205019037","Désinfectant","",""
"95802","","Human","02469294","LINEZOLID INJECTION","SINGLE DOSE CONTAINER","N","","1","01-FEB-2024","0143501003","Humain","",""
"95495","","Human","02466619","BENEFIX","ALSO KNOWN AS NONACOG ALFA","N","","1","05-FEB-2024","0152202006","Humain","",""
"78931","","Human","02304007","ZOLEDRONIC ACID CONCENTRATE","","N","","1","22-JUL-2015","0141761002","Humain","ACIDE ZOLÉDRONIQUE EN CONCENTRÉ",""
"91976","","Human","02435454","IPG-IRBESARTAN","","N","","1","30-JAN-2024","0131700003","Humain","",""
"79530","","Human","02309645","ACETAMINOPHEN RAPID ACTION GELCAPS 500MG","","N","","1","24-JAN-2024","0102009002","Humain","ACETAMINOPHEN D'ACTION RAPIDE GELCAPS 500MG",""
"94685","","Human","02459531","AFSTYLA","ANTIHEMOPHILIC FACTOR VIII (RECOMBINANT), SINGLE CHAIN","N","","1","30-JAN-2024","0158610001","Humain","AFSTYLA","FACTEUR ANTIHÉMOPHILIQUE (F. VIII), (RECOMBINANT), CHAÎNE UNIQUE"
"94673","","Human","02459477","APO-TACROLIMUS","","N","","1","01-FEB-2024","0127857002","Humain","",""
"94674","","Human","02459485","APO-TACROLIMUS","","N","","1","01-FEB-2024","0127857001","Humain","",""
"72277","","Human","02247967","EXTRA STRENGTH MIDOL RELIEF","","N","","2","25-AUG-2017","0201233009","Humain","",""
"75892","","Human","02273438","MIDOL ONE","","N","","3","25-AUG-2017","0324673002","Humain","",""
"93327","","Human","02447673","PMS-DEXTROAMPHETAMINE","","N","","1","01-FEB-2024","0105933002","Humain","",""
"93437","","Human","02448653","IPG-TADALAFIL","","N","","1","06-FEB-2024","0149485003","Humain","",""
"93438","","Human","02448661","IPG-TADALAFIL","","N","","1","07-FEB-2024","0149485004","Humain","",""
"93869","","Human","02452316","JAMP-AZITHROMYCIN","","N","","1","30-JAN-2024","0126072005","Humain","",""
"91099","","Human","02426412","VAL-ZOLEDRONIC ACID","PREFILLED SYRINGE","N","","1","29-JAN-2024","0141761002","Humain","",""
