DRUG_CODE,ROUTE_OF_ADMINISTRATION_CODE,ROUTE_OF_ADMINISTRATION,ROUTE_OF_ADMINISTRATION_F
"96543","56","ORAL","Orale"
"96544","56","ORAL","Orale"
"96545","56","ORAL","Orale"
"96556","56","ORAL","Orale"
"64772","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"80808","49","INTRAVENOUS","Intraveineuse"
"97869","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"97871","22","INTRAMUSCULAR","Intramusculaire"
"97871","49","INTRAVENOUS","Intraveineuse"
"97871","65","SUBCUTANEOUS","Sous-cutanée"
"97872","22","INTRAMUSCULAR","Intramusculaire"
"97872","49","INTRAVENOUS","Intraveineuse"
"97872","65","SUBCUTANEOUS","Sous-cutanée"
"97874","22","INTRAMUSCULAR","Intramusculaire"
"97874","49","INTRAVENOUS","Intraveineuse"
"97874","65","SUBCUTANEOUS","Sous-cutanée"
"97877","56","ORAL","Orale"
"97881","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"97881","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"97886","2","DISINFECTANT (Barn)","Désinfectant (Ferme)"
"97886","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"97886","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"97886","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"97887","49","INTRAVENOUS","Intraveineuse"
"97893","22","INTRAMUSCULAR","Intramusculaire"
"97893","49","INTRAVENOUS","Intraveineuse"
"97898","1","BLOCK/INFILTRATION","Bloc/Infiltration"
"97898","7","EPIDURAL","Épidurale"
"97899","1","BLOCK/INFILTRATION","Bloc/Infiltration"
"97899","7","EPIDURAL","Épidurale"
"97914","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"97913","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"97918","56","ORAL","Orale"
"97919","56","ORAL","Orale"
"97926","56","ORAL","Orale"
"97928","56","ORAL","Orale"
"97934","55","OPHTHALMIC","Ophtalmique"
"97946","56","ORAL","Orale"
"97964","70","TOPICAL","Topique"
"97968","49","INTRAVENOUS","Intraveineuse"
"97969","49","INTRAVENOUS","Intraveineuse"
"97973","55","OPHTHALMIC","Ophtalmique"
"87303","97","INTRAVASCULAR","Intravasculaire"
"87321","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"87321","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"87321","2","DISINFECTANT (Barn)","Désinfectant (Ferme)"
"87321","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"88315","56","ORAL","Orale"
"88316","56","ORAL","Orale"
"88317","56","ORAL","Orale"
"88318","56","ORAL","Orale"
"88324","56","ORAL","Orale"
"88326","56","ORAL","Orale"
"88327","56","ORAL","Orale"
"88381","56","ORAL","Orale"
"88382","56","ORAL","Orale"
"80451","22","INTRAMUSCULAR","Intramusculaire"
"80451","49","INTRAVENOUS","Intraveineuse"
"81219","56","ORAL","Orale"
"81220","56","ORAL","Orale"
"81221","56","ORAL","Orale"
"98011","7","EPIDURAL","Épidurale"
"97985","55","OPHTHALMIC","Ophtalmique"
"97983","56","ORAL","Orale"
"97984","56","ORAL","Orale"
"97991","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"97991","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"97992","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"97992","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"97993","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"97993","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"82606","70","TOPICAL","Topique"
"74789","6","HAEMODIALYSIS","Hémodialyse"
"74795","56","ORAL","Orale"
"73661","56","ORAL","Orale"
"73662","56","ORAL","Orale"
"73663","56","ORAL","Orale"
"73664","56","ORAL","Orale"
"73670","56","ORAL","Orale"
"73679","56","ORAL","Orale"
"73717","22","INTRAMUSCULAR","Intramusculaire"
"87523","56","ORAL","Orale"
"88461","56","ORAL","Orale"
"88475","49","INTRAVENOUS","Intraveineuse"
"82941","49","INTRAVENOUS","Intraveineuse"
"77452","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"77452","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"77452","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"76798","56","ORAL","Orale"
"81447","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"81447","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"81447","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"81447","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"74861","56","ORAL","Orale"
"98011","1","BLOCK/INFILTRATION","Bloc/Infiltration"
"98015","49","INTRAVENOUS","Intraveineuse"
"98027","56","ORAL","Orale"
"98026","56","ORAL","Orale"
"98041","49","INTRAVENOUS","Intraveineuse"
"98053","56","ORAL","Orale"
"98054","56","ORAL","Orale"
"98071","56","ORAL","Orale"
"98080","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"98088","65","SUBCUTANEOUS","Sous-cutanée"
"89127","56","ORAL","Orale"
"89128","56","ORAL","Orale"
"89129","56","ORAL","Orale"
"89130","56","ORAL","Orale"
"73776","56","ORAL","Orale"
"73777","56","ORAL","Orale"
"73808","56","ORAL","Orale"
"25876","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"21855","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"21854","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"21854","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"73860","56","ORAL","Orale"
"73861","56","ORAL","Orale"
"73862","56","ORAL","Orale"
"25882","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"73863","56","ORAL","Orale"
"73910","56","ORAL","Orale"
"73911","56","ORAL","Orale"
"73912","56","ORAL","Orale"
"73913","56","ORAL","Orale"
"73914","56","ORAL","Orale"
"80260","56","ORAL","Orale"
"80261","56","ORAL","Orale"
"80579","56","ORAL","Orale"
"80874","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"80874","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"80874","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"80874","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"76972","56","ORAL","Orale"
"78653","70","TOPICAL","Topique"
"95997","22","INTRAMUSCULAR","Intramusculaire"
"95997","49","INTRAVENOUS","Intraveineuse"
"96000","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"96000","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"96000","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"96000","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"96001","22","INTRAMUSCULAR","Intramusculaire"
"96001","49","INTRAVENOUS","Intraveineuse"
"96002","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"96002","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"96002","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"96002","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"96007","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"69020","56","ORAL","Orale"
"76389","56","ORAL","Orale"
"78122","62","RECTAL","Rectale"
"21855","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"98109","56","ORAL","Orale"
"98112","22","INTRAMUSCULAR","Intramusculaire"
"98112","70","TOPICAL","Topique"
"98129","65","SUBCUTANEOUS","Sous-cutanée"
"98130","65","SUBCUTANEOUS","Sous-cutanée"
"98131","65","SUBCUTANEOUS","Sous-cutanée"
"98137","56","ORAL","Orale"
"98153","49","INTRAVENOUS","Intraveineuse"
"98182","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"76756","56","ORAL","Orale"
"76757","56","ORAL","Orale"
"76758","56","ORAL","Orale"
"76807","56","ORAL","Orale"
"76808","56","ORAL","Orale"
"88794","56","ORAL","Orale"
"88795","56","ORAL","Orale"
"88802","56","ORAL","Orale"
"88838","56","ORAL","Orale"
"88839","56","ORAL","Orale"
"88846","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"88846","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"91174","56","ORAL","Orale"
"91175","56","ORAL","Orale"
"91176","56","ORAL","Orale"
"91177","56","ORAL","Orale"
"91178","56","ORAL","Orale"
"91179","56","ORAL","Orale"
"91180","56","ORAL","Orale"
"91181","56","ORAL","Orale"
"91182","56","ORAL","Orale"
"91183","56","ORAL","Orale"
"91184","56","ORAL","Orale"
"91185","56","ORAL","Orale"
"91186","56","ORAL","Orale"
"91187","56","ORAL","Orale"
"91191","56","ORAL","Orale"
"91192","56","ORAL","Orale"
"91190","56","ORAL","Orale"
"91201","56","ORAL","Orale"
"91202","56","ORAL","Orale"
"91203","56","ORAL","Orale"
"91204","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"91204","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"91204","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"91204","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"76733","56","ORAL","Orale"
"76734","56","ORAL","Orale"
"76735","56","ORAL","Orale"
"78007","56","ORAL","Orale"
"78008","56","ORAL","Orale"
"79682","56","ORAL","Orale"
"79683","56","ORAL","Orale"
"81802","56","ORAL","Orale"
"81806","56","ORAL","Orale"
"81807","56","ORAL","Orale"
"81808","56","ORAL","Orale"
"81809","56","ORAL","Orale"
"72007","56","ORAL","Orale"
"72055","56","ORAL","Orale"
"77990","56","ORAL","Orale"
"77993","56","ORAL","Orale"
"78002","49","INTRAVENOUS","Intraveineuse"
"91441","56","ORAL","Orale"
"91442","56","ORAL","Orale"
"91443","56","ORAL","Orale"
"91444","56","ORAL","Orale"
"91446","70","TOPICAL","Topique"
"91458","56","ORAL","Orale"
"91490","56","ORAL","Orale"
"91491","56","ORAL","Orale"
"91492","56","ORAL","Orale"
"91493","56","ORAL","Orale"
"80262","56","ORAL","Orale"
"89355","70","TOPICAL","Topique"
"89367","56","ORAL","Orale"
"89368","56","ORAL","Orale"
"72446","55","OPHTHALMIC","Ophtalmique"
"98624","56","ORAL","Orale"
"98625","56","ORAL","Orale"
"98632","56","ORAL","Orale"
"98633","56","ORAL","Orale"
"98636","56","ORAL","Orale"
"98637","56","ORAL","Orale"
"98645","70","TOPICAL","Topique"
"98646","56","ORAL","Orale"
"98647","56","ORAL","Orale"
"98648","56","ORAL","Orale"
"98649","56","ORAL","Orale"
"98679","49","INTRAVENOUS","Intraveineuse"
"98685","56","ORAL","Orale"
"98686","80","INTRAVITREAL","Intravitreuse"
"98687","56","ORAL","Orale"
"98688","56","ORAL","Orale"
"98702","56","ORAL","Orale"
"98703","56","ORAL","Orale"
"98704","56","ORAL","Orale"
"98707","2","DISINFECTANT (Barn)","Désinfectant (Ferme)"
"98707","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"98707","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"101581","49","INTRAVENOUS","Intraveineuse"
"103104","56","ORAL","Orale"
"103441","56","ORAL","Orale"
"103442","56","ORAL","Orale"
"102700","56","ORAL","Orale"
"102701","56","ORAL","Orale"
"101807","2","DISINFECTANT (Barn)","Désinfectant (Ferme)"
"101807","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"101807","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"101807","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"101941","70","TOPICAL","Topique"
"102414","49","INTRAVENOUS","Intraveineuse"
"102542","56","ORAL","Orale"
"102543","56","ORAL","Orale"
"102544","56","ORAL","Orale"
"102545","56","ORAL","Orale"
"103599","2","DISINFECTANT (Barn)","Désinfectant (Ferme)"
"103599","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"103599","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"103599","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"103599","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"103600","2","DISINFECTANT (Barn)","Désinfectant (Ferme)"
"103600","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"103600","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"103600","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"103600","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"102540","56","ORAL","Orale"
"102541","22","INTRAMUSCULAR","Intramusculaire"
"102214","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"102214","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"102214","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"102214","2","DISINFECTANT (Barn)","Désinfectant (Ferme)"
"102476","49","INTRAVENOUS","Intraveineuse"
"103293","56","ORAL","Orale"
"103445","49","INTRAVENOUS","Intraveineuse"
"103447","49","INTRAVENOUS","Intraveineuse"
"103448","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"103448","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"103448","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"103448","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"102776","49","INTRAVENOUS","Intraveineuse"
"103417","70","TOPICAL","Topique"
"103804","70","TOPICAL","Topique"
"103418","65","SUBCUTANEOUS","Sous-cutanée"
"101974","80","INTRAVITREAL","Intravitreuse"
"103740","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"103741","56","ORAL","Orale"
"103742","56","ORAL","Orale"
"103743","56","ORAL","Orale"
"103233","56","ORAL","Orale"
"103234","56","ORAL","Orale"
"103518","56","ORAL","Orale"
"103569","56","ORAL","Orale"
"103570","56","ORAL","Orale"
"103571","56","ORAL","Orale"
"103572","56","ORAL","Orale"
"103573","56","ORAL","Orale"
"103574","56","ORAL","Orale"
"103575","56","ORAL","Orale"
"103576","56","ORAL","Orale"
"103577","56","ORAL","Orale"
"103578","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"103578","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"103582","56","ORAL","Orale"
"102746","56","ORAL","Orale"
"102747","56","ORAL","Orale"
"102748","56","ORAL","Orale"
"102749","56","ORAL","Orale"
"102750","56","ORAL","Orale"
"103314","65","SUBCUTANEOUS","Sous-cutanée"
"103315","65","SUBCUTANEOUS","Sous-cutanée"
"103316","65","SUBCUTANEOUS","Sous-cutanée"
"103132","70","TOPICAL","Topique"
"103432","70","TOPICAL","Topique"
"103729","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"92003","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"92003","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"92003","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"92003","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"92004","49","INTRAVENOUS","Intraveineuse"
"92010","70","TOPICAL","Topique"
"92011","70","TOPICAL","Topique"
"92012","56","ORAL","Orale"
"92013","56","ORAL","Orale"
"92014","56","ORAL","Orale"
"91539","56","ORAL","Orale"
"91540","56","ORAL","Orale"
"91541","56","ORAL","Orale"
"91544","56","ORAL","Orale"
"91545","56","ORAL","Orale"
"91546","56","ORAL","Orale"
"91558","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"91558","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"91559","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"91559","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"91565","56","ORAL","Orale"
"91568","55","OPHTHALMIC","Ophtalmique"
"91569","55","OPHTHALMIC","Ophtalmique"
"91573","56","ORAL","Orale"
"91606","56","ORAL","Orale"
"91605","56","ORAL","Orale"
"91607","56","ORAL","Orale"
"91608","56","ORAL","Orale"
"91609","56","ORAL","Orale"
"79567","56","ORAL","Orale"
"80752","56","ORAL","Orale"
"83007","56","ORAL","Orale"
"80823","70","TOPICAL","Topique"
"81687","56","ORAL","Orale"
"81688","56","ORAL","Orale"
"81689","56","ORAL","Orale"
"81690","56","ORAL","Orale"
"98707","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"98707","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"98713","2","DISINFECTANT (Barn)","Désinfectant (Ferme)"
"98713","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"98713","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"98713","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"98713","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"98714","2","DISINFECTANT (Barn)","Désinfectant (Ferme)"
"98714","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"98714","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"98714","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"98714","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"98724","56","ORAL","Orale"
"98726","49","INTRAVENOUS","Intraveineuse"
"98726","65","SUBCUTANEOUS","Sous-cutanée"
"98728","56","ORAL","Orale"
"98730","56","ORAL","Orale"
"92022","6","HAEMODIALYSIS","Hémodialyse"
"91559","2","DISINFECTANT (Barn)","Désinfectant (Ferme)"
"91559","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"91558","2","DISINFECTANT (Barn)","Désinfectant (Ferme)"
"91558","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"92043","56","ORAL","Orale"
"92044","56","ORAL","Orale"
"92045","56","ORAL","Orale"
"92059","49","INTRAVENOUS","Intraveineuse"
"92061","57","OTIC","Otique"
"92071","49","INTRAVENOUS","Intraveineuse"
"92083","49","INTRAVENOUS","Intraveineuse"
"92095","56","ORAL","Orale"
"92103","56","ORAL","Orale"
"92115","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"92115","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"71516","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"71516","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"71516","2","DISINFECTANT (Barn)","Désinfectant (Ferme)"
"77535","22","INTRAMUSCULAR","Intramusculaire"
"77535","49","INTRAVENOUS","Intraveineuse"
"77535","65","SUBCUTANEOUS","Sous-cutanée"
"77930","56","ORAL","Orale"
"82576","49","INTRAVENOUS","Intraveineuse"
"76223","29","INHALATION","Inhalation"
"64851","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"77788","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"77789","56","ORAL","Orale"
"77790","56","ORAL","Orale"
"80416","56","ORAL","Orale"
"89900","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"89900","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"89900","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"89900","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"89910","56","ORAL","Orale"
"89911","56","ORAL","Orale"
"89912","56","ORAL","Orale"
"89913","56","ORAL","Orale"
"89914","56","ORAL","Orale"
"89915","56","ORAL","Orale"
"89926","56","ORAL","Orale"
"89927","56","ORAL","Orale"
"89928","56","ORAL","Orale"
"76641","56","ORAL","Orale"
"76642","56","ORAL","Orale"
"80188","56","ORAL","Orale"
"81183","104","TOPICAL (HOUSEHOLD)","Topique (Maison)"
"82531","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"82531","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"82531","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"81761","56","ORAL","Orale"
"81762","56","ORAL","Orale"
"81771","56","ORAL","Orale"
"81772","56","ORAL","Orale"
"81960","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"81960","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"81960","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"81960","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"91219","56","ORAL","Orale"
"91220","56","ORAL","Orale"
"91221","56","ORAL","Orale"
"91222","56","ORAL","Orale"
"91223","56","ORAL","Orale"
"91224","56","ORAL","Orale"
"91233","56","ORAL","Orale"
"91234","56","ORAL","Orale"
"91245","56","ORAL","Orale"
"91246","56","ORAL","Orale"
"91247","56","ORAL","Orale"
"91248","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"91248","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"91248","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"91248","2","DISINFECTANT (Barn)","Désinfectant (Ferme)"
"91257","70","TOPICAL","Topique"
"91258","70","TOPICAL","Topique"
"91259","70","TOPICAL","Topique"
"91267","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"91267","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"91272","56","ORAL","Orale"
"91273","56","ORAL","Orale"
"91274","56","ORAL","Orale"
"91275","56","ORAL","Orale"
"91276","56","ORAL","Orale"
"91279","56","ORAL","Orale"
"91280","56","ORAL","Orale"
"91304","56","ORAL","Orale"
"91308","56","ORAL","Orale"
"91309","56","ORAL","Orale"
"91310","56","ORAL","Orale"
"25876","2","DISINFECTANT (Barn)","Désinfectant (Ferme)"
"100199","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"100199","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"100199","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"100199","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"100201","2","DISINFECTANT (Barn)","Désinfectant (Ferme)"
"100201","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"100201","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"100201","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"100201","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"100202","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"100202","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"101239","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"101239","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"101239","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"101239","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"101239","2","DISINFECTANT (Barn)","Désinfectant (Ferme)"
"99163","56","ORAL","Orale"
"99170","56","ORAL","Orale"
"99359","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"99359","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"99359","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"99359","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"100511","105","TOPICAL (COMMERCIAL)","Topique (Milieu commercial)"
"100658","2","DISINFECTANT (Barn)","Désinfectant (Ferme)"
"100658","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"89939","56","ORAL","Orale"
"89985","56","ORAL","Orale"
"89986","56","ORAL","Orale"
"89987","56","ORAL","Orale"
"89988","56","ORAL","Orale"
"90010","6","HAEMODIALYSIS","Hémodialyse"
"89390","49","INTRAVENOUS","Intraveineuse"
"89403","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"89403","2","DISINFECTANT (Barn)","Désinfectant (Ferme)"
"89403","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"89403","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"89408","49","INTRAVENOUS","Intraveineuse"
"89410","56","ORAL","Orale"
"89411","56","ORAL","Orale"
"89428","70","TOPICAL","Topique"
"91353","56","ORAL","Orale"
"91354","56","ORAL","Orale"
"91355","56","ORAL","Orale"
"91356","56","ORAL","Orale"
"91360","49","INTRAVENOUS","Intraveineuse"
"72530","49","INTRAVENOUS","Intraveineuse"
"72555","29","INHALATION","Inhalation"
"100174","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"100174","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"100174","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"100174","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"101173","105","TOPICAL (COMMERCIAL)","Topique (Milieu commercial)"
"101337","56","ORAL","Orale"
"101338","56","ORAL","Orale"
"101363","65","SUBCUTANEOUS","Sous-cutanée"
"99699","7","EPIDURAL","Épidurale"
"99699","60","RETROBULBAR","Rétrobulbaire"
